fecha,abrir,max,min,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,volumen
"May 9, 2025",290.21,307.04,290.00,298.26,298.26,"132,079,700"
"May 8, 2025",279.63,289.80,279.41,284.82,284.82,"97,539,400"
"May 7, 2025",276.88,277.92,271.00,276.22,276.22,"71,882,400"
"May 6, 2025",273.11,277.73,271.35,275.35,275.35,"76,715,800"
"May 5, 2025",284.57,284.85,274.40,280.26,280.26,"94,618,900"
"May 2, 2025",284.90,294.78,279.81,287.21,287.21,"114,454,700"
"May 1, 2025",280.01,290.87,279.81,280.52,280.52,"99,659,000"
"Apr 30, 2025",279.90,284.45,270.78,282.16,282.16,"128,961,100"
"Apr 29, 2025",285.50,293.32,279.47,292.03,292.03,"108,906,600"
"Apr 28, 2025",288.98,294.86,272.42,285.88,285.88,"151,731,800"
"Apr 25, 2025",261.69,286.85,259.63,284.95,284.95,"167,560,700"
"Apr 24, 2025",250.50,259.54,249.20,259.51,259.51,"94,464,200"
"Apr 23, 2025",254.86,259.45,244.43,250.74,250.74,"150,381,900"
"Apr 22, 2025",230.96,242.79,229.85,237.97,237.97,"120,858,500"
"Apr 21, 2025",230.26,232.21,222.79,227.50,227.50,"97,768,000"
"Apr 17, 2025",243.47,244.34,237.68,241.37,241.37,"83,404,800"
"Apr 16, 2025",247.61,251.97,233.89,241.55,241.55,"112,378,700"
"Apr 15, 2025",249.91,258.75,247.54,254.11,254.11,"79,594,300"
"Apr 14, 2025",258.36,261.80,245.93,252.35,252.35,"100,135,200"
"Apr 11, 2025",251.84,257.74,241.36,252.31,252.31,"128,948,100"
"Apr 10, 2025",260.00,262.49,239.33,252.40,252.40,"181,722,600"
"Apr 9, 2025",224.69,274.69,223.88,272.20,272.20,"219,433,400"
"Apr 8, 2025",245.00,250.44,217.80,221.86,221.86,"171,603,500"
"Apr 7, 2025",223.78,252.00,214.25,233.29,233.29,"183,453,800"
"Apr 4, 2025",255.38,261.00,236.00,239.43,239.43,"181,229,400"
"Apr 3, 2025",265.29,276.30,261.51,267.28,267.28,"136,174,300"
"Apr 2, 2025",254.60,284.99,251.27,282.76,282.76,"212,787,800"
"Apr 1, 2025",263.80,277.45,259.25,268.46,268.46,"146,486,900"
"Mar 31, 2025",249.31,260.56,243.36,259.16,259.16,"134,008,900"
"Mar 28, 2025",275.58,276.10,260.57,263.55,263.55,"123,809,400"
"Mar 27, 2025",272.48,291.85,271.82,273.13,273.13,"162,572,100"
"Mar 26, 2025",282.66,284.90,266.51,272.06,272.06,"153,629,800"
"Mar 25, 2025",283.60,288.20,271.28,288.14,288.14,"150,361,500"
"Mar 24, 2025",258.08,278.64,256.33,278.39,278.39,"169,079,900"
"Mar 21, 2025",234.99,249.52,234.55,248.71,248.71,"132,728,700"
